combined,split,dtw_cost,mean_mfcc_dist,combined_path,split_paths,note
Vi3uu2gu1,"Vi3,uu2,gu1",,,,;;,skipped_missing_files
yi3be2oo2go1,"yi3,be2,oo2,go1",,,,./syllables_all_links/Yi3.wav;;;,skipped_missing_files
zo3ee2ran1,"zo3,ee2,ran1",,,,;;,skipped_missing_files
yo1aab3len2,"yo1,aab3,len2",,,,;;,skipped_missing_files
mi2uu2gu1,"mi2,uu2,gu1",,,,;;,skipped_missing_files
be2oo2,"be2,oo2",,,,;,skipped_missing_files
be2oo2go1,"be2,oo2,go1",,,,;;,skipped_missing_files
mo1aa2,"mo1,aa2",,,,;,skipped_missing_files
mo1aa2ga3,"mo1,aa2,ga3",,,,;;,skipped_missing_files
re3e2,"re3,e2",,,,;,skipped_missing_files
fa3oo2,"fa3,oo2",,,,;,skipped_missing_files
fa3oo2ga3,"fa3,oo2,ga3",,,,;;,skipped_missing_files
vi3uu2,"Vi3,uu2",,,,;,skipped_missing_files
yan2oo2,"yan2,oo2",,,,;,skipped_missing_files
mo1aa2go1,"mo1,aa2,go1",,,,;;,skipped_missing_files
mi2uu2,"mi2,uu2",,,,;,skipped_missing_files
fa2oo2,"fa2,oo2",,,,;,skipped_missing_files
